gene_symbol,tsne_1,tsne_2
CASR,54.101093,38.383343
TUBG2,59.21357,-25.617336
RPL26L1,77.11006,-15.065748
FLT4,27.748487,-21.605581
NSUN2,94.153496,-36.78254
FBXO42,97.89337,-4.7338953
MFAP3,94.67667,-12.105773
MRI1,80.104866,-8.09337
METTL1,66.60504,-12.055135
HOXC8,22.13645,-8.805971
AGA,75.85235,-5.577799
PI4K2B,82.532196,-7.488508
BOD1L1,114.70309,-32.348038
MAT2B,113.11702,-22.523018
TLL1,31.876316,-34.688057
EDC4,72.42007,-37.30056
TRIO,67.96376,-42.618164
VCAN,103.56031,-0.33397415
CLEC16A,100.56878,-0.8095766
MSR1,70.673584,36.04749
CDH1,53.371044,-26.710972
MTREX,107.8901,-27.825735
DNAH5,47.636745,24.782387
ZFYVE16,107.24386,-11.617771
RIPOR1,76.764046,-38.504448
C6,10.271004,-32.137703
RAI14,56.99129,-40.34132
SOX30,12.895324,12.889293
PNKP,78.2425,-25.59777
BEST2,20.062773,31.07038
PHLPP2,91.014694,-3.4180806
SPDL1,59.263737,-54.466312
STAU2,101.08689,-13.930851
SLC66A1,63.424522,-19.12218
CTNS,79.335526,-6.3710504
RTN4R,43.335583,-13.675643
PHF23,83.6225,-27.8884
CDH10,23.664125,-31.72651
INPP4A,104.95947,-5.5152125
RAB27B,61.28714,5.9563804
PSMA4,101.12588,-45.625397
MYO16,41.30754,32.966396
LSG1,97.68614,-16.658106
PARP3,57.05879,-23.906166
TNC,52.73716,-38.977722
THAP3,66.11569,-10.799462
RIPOR3,49.128162,18.291296
TDP1,87.047386,-10.1770315
AIFM2,72.15139,-15.135182
C2ORF83,29.98449,56.414932
SPATA7,48.551285,-23.127077
MED17,96.29893,-2.3196242
RETSAT,83.11526,-31.558857
CAPG,100.94831,14.577663
AP2S1,88.67397,-28.816538
USH2A,32.231247,30.414484
ZPBP,-8.907518,-38.062065
TG,43.78354,21.432825
ADAM28,66.76996,53.896866
BARX2,24.993132,-14.799166
DCUN1D1,100.63509,-14.593719
JADE2,103.350426,8.315462
ZIC2,24.29543,-26.24167
LCP2,71.388145,58.420845
TRIT1,77.02352,-9.152457
ADRB1,42.053383,30.322945
GUCA2B,0.8862195,-36.46857
CUL7,73.17871,-35.518757
CTNNA1,108.246666,-48.386
PHKA2,71.498474,-31.85986
CNTLN,77.23674,3.5204196
EPHA3,34.51064,-30.969545
HSPA5,103.2654,-54.698406
DSG2,58.479267,-33.211964
GEMIN8,71.10734,-9.891434
OFD1,109.900604,-14.516815
GPM6B,65.82182,6.741009
MAGEC2,-17.166197,-42.364033
PREX2,34.77786,-36.499847
WDR37,102.43071,-2.5139391
YTHDC2,101.763954,-7.8140626
CTPS2,75.8842,-7.3732715
ATP6V1H,94.59943,-14.412362
POLR2B,107.45181,-40.74531
FAM214A,102.932846,-3.6239884
ARAP2,93.06409,15.328916
TPR,112.59438,-39.71371
CP,56.487274,19.045755
KATNIP,70.25721,-30.989609
DTNBP1,72.858894,-12.204577
XK,48.666355,18.462156
ANO2,20.044853,-24.05049
C12ORF4,85.1912,-7.4220824
SCML1,68.211494,-4.895053
WWC3,101.62203,-2.5591424
ARHGAP6,59.467056,13.496031
FAM184B,39.624023,24.600285
MAP4,108.25887,-48.803623
GOPC,99.44355,-14.664905
ROS1,40.051086,38.4259
USP28,94.339676,-5.481214
HDAC9,82.439354,2.7622557
TSPAN17,74.35976,-29.41206
NOP16,80.6093,-19.34453
CC2D2A,85.16831,10.132315
RRM2B,98.385925,-23.37548
ZNF800,101.88624,0.8763857
TNFRSF17,34.5325,73.25741
SNX29,100.86155,-1.6081674
LMO3,32.175327,-28.617352
MRPS10,90.04077,-16.790064
GUCA1A,31.757711,52.471386
RSF1,112.19453,-29.356827
VPS13D,110.02074,-23.627348
CELF2,91.12776,16.148516
FAM120A,110.87701,-38.59043
R3HDM1,103.496,-16.630693
COL9A2,55.189934,-12.26793
KITLG,48.245502,-32.3212
ERCC8,92.42984,1.9517276
ADAMTS6,59.171913,10.438327
H6PD,101.44447,-18.91812
VAMP3,103.39893,-28.197474
PER3,72.59178,-1.2709037
UTS2,-5.3739386,79.48994
TNFRSF9,69.25065,23.740635
EPN3,28.102585,-16.532152
LTBP1,58.657825,-38.937088
RCN1,66.13858,-41.72042
ELN,42.114716,-38.54545
RFC2,85.43967,-22.165619
ARID1B,114.737076,-31.845518
CLPTM1L,92.82391,-38.269665
NEDD4L,106.70673,-15.454414
FOXP3,47.175743,7.3111277
PPP1R3F,52.294117,-17.017868
HEXB,100.9073,-42.100075
PTCD2,79.34896,-3.1328874
NEXMIF,28.95692,-27.778915
JKAMP,94.79031,-24.01872
DKK3,45.541325,-34.566254
ARHGEF5,30.236826,-16.366987
NFE2L3,82.29215,-7.2820683
MCUR1,95.60958,-20.022453
LIMA1,64.413765,-42.539207
LETMD1,98.54185,-1.8623198
SLC4A8,70.72855,9.036941
LAMC3,54.716293,18.639124
PTGER3,20.979168,-21.549995
TNIP3,48.83794,48.65499
MAPK9,98.6292,-23.727057
COL23A1,30.042574,-23.666655
BCAR1,48.70569,-31.183788
FHIP1B,71.275925,-30.417147
HERPUD1,107.944664,-35.393024
HOMER3,63.380898,-27.500416
RAD51,55.437782,-54.7147
POLQ,56.11658,-54.430817
PIK3CB,100.602936,-7.8083544
CYBA,101.47187,14.461903
THOC3,69.808464,-18.465181
HEBP2,111.63281,-17.843878
MPHOSPH9,94.04708,-3.6066945
PLEKHA5,106.893776,-14.434311
PRSS8,28.557116,-17.588137
SIKE1,99.027534,-15.253698
RRP12,95.53918,-21.79923
FNIP2,91.296425,-2.2079713
MSMO1,98.0755,-27.538956
TTC17,115.51434,-26.76129
ALX4,19.290937,-6.147254
FSTL4,26.808842,-27.393219
FOXN3,111.569115,-21.967596
METTL24,41.257023,33.137417
AKR7A2,82.107956,-23.057268
MRTO4,82.82594,-21.126383
NNAT,41.133205,-12.355423
USE1,72.33797,-9.970088
MCF2L2,70.59789,25.306028
NRIP2,54.368374,9.763764
LAMA3,50.62675,-30.997335
AP5M1,97.01712,-11.96249
ANAPC4,91.90124,-6.1119046
KCNQ1,62.95809,55.048714
TRAPPC3,93.88765,-24.02351
THRAP3,111.740974,-40.287735
PHPT1,88.267525,-23.068748
ENTPD2,25.5176,-15.495713
LY75,70.59326,55.43302
ARID4B,116.67764,-30.28569
OPN3,68.95459,-7.808681
SDCCAG8,81.87498,7.4915113
PTPRN,33.142117,-24.31347
HHAT,45.053265,-12.2112465
KIF1B,113.98373,-34.317204
FOXC1,45.290634,-31.46518
TBC1D22A,100.619225,3.1094794
SYNE2,116.9089,-30.880487
PLEKHH1,52.207935,-28.354118
ATP9A,61.233128,-38.5909
SPO11,-29.16201,-63.03907
CBLN4,-7.0115137,-23.44507
CHRDL2,13.0269575,-19.964169
FAM168A,81.212204,-36.86785
RELT,97.86839,15.145073
GALC,84.62347,6.7243166
NOP58,99.03671,-42.916386
SZRD1,93.09813,-42.17276
KCNH2,41.36138,-18.210323
CUL1,102.52874,-30.07375
FAM114A2,84.96742,-7.244789
CYFIP2,105.26258,4.061012
TAB2,111.63389,-25.589369
GINM1,92.73227,-11.489201
EIF2AK2,111.80982,-30.1856
USP36,85.61539,-38.53022
KMT2C,115.42216,-33.69957
MCOLN3,61.70575,19.342802
CCDC85A,31.455671,-33.218994
PUM2,112.4562,-34.394627
MRPL43,83.47311,-23.994627
ITIH4,55.025146,9.604262
ITIH1,12.475226,-31.127136
HPF1,69.768974,-11.433654
ZFR,110.58047,-39.83835
ZNF280C,68.37724,-2.496596
NPFFR2,-1.6685593,-13.914182
PHF21B,22.142996,-28.588129
TRAF1,92.273285,21.816517
RC3H2,109.09656,-24.91267
KIFC1,-61.424606,22.646988
IL17RB,57.17061,-6.16043
TRAF3IP2,93.0844,1.4275074
GYG2,40.95771,-29.951523
DCBLD2,62.25046,-42.17022
SERPINB3,9.787437,-42.010723
SOAT1,105.014725,-12.009133
PKP2,53.01489,-28.14705
MSH4,17.997381,30.245955
F7,12.484434,-30.779388
GDI2,103.145004,-48.210358
PRDM1,91.429565,20.668839
ATG5,93.35397,-13.599131
TMCC3,87.8232,21.040152
PITHD1,93.25907,-18.010958
MTA3,91.65238,-4.848892
USP13,90.119865,-9.483799
ATP11B,117.615074,-24.918451
LAMC2,50.677574,-30.867641
CDK14,82.327415,2.3989677
SEC61A1,108.083565,-47.713837
PPP1R12A,113.936295,-32.28473
RASGRF1,34.89866,-21.864185
CAMK2B,39.49885,-24.782515
CROCC,68.63033,-29.974056
POLR3E,98.50363,-8.60812
ATP2B4,109.479546,-24.404497
ZC3H11A,112.23593,-39.25888
RIOK2,85.330215,-8.871943
YIPF1,72.6087,-22.292427
NDC1,71.746376,-44.543514
DGKG,63.484726,21.909193
FLYWCH1,80.02358,-32.800663
UNKL,79.30843,6.3527336
TBXAS1,68.63181,51.488106
PARP12,94.58388,20.82048
ALDH18A1,88.63865,-35.947296
TARBP1,96.998215,-7.2351556
GATB,74.69388,-15.830111
MXD1,104.786545,-2.758386
CDK17,102.679344,-7.5672235
DNAJC25,68.29516,-8.816707
SLC2A3,106.55909,-0.20491111
PSD,45.35627,-15.489608
CTDP1,68.78314,-28.237707
YBX3,110.374985,-41.147343
STYK1,32.44921,-14.463436
WNK1,108.93963,-49.006874
RPS17P5,11.864033,-66.81275
CCAR1,113.33905,-30.750015
OGFR,82.35518,-38.43154
GNA15,66.62633,55.194443
CREB3L3,9.515932,-32.136314
PIGV,78.426544,5.317281
PTPRU,48.70978,-29.973427
SNRNP40,85.84585,-25.400818
RIMBP2,23.858984,-34.241245
COL11A1,37.48552,-35.65198
QSER1,103.18035,-22.639416
MPC1,82.35019,-18.164663
ACAA1,84.57318,-33.41658
BCAT1,104.86013,-11.103306
HDAC7,82.59081,-41.021065
LZTS1,39.444424,-28.050003
